BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,"Analogy Type (0=Far, 1=Close, 2=Self, 3=Sub)",,,,,,,,,,
Describe the typical steps in making coffee.(1294),Describe the typical steps in making coffee.(1293),0.807,1,2,,,,,,,,,,
How do the lungs work?(795),Describe the process of breathing.(256),0.807,1,2,,,,,,,,,,
How does a coal-fired power plant work?(1081),Describe the process of using coal to heat a house.(961),0.807,1,2,,,,,,,,,,
Describe the life cycle of a frog(643),Describe the life cycle of a frog(642),0.807,1,2,,,,,,,,,,
How does oil get from the ground to a gas station?(424),How does oil get from the ground to a gas station?(425),0.806,1,2,,,,,,,,,,
How does snow form?(892),How does snow form?(57),0.806,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(391),Describe the process of using coal to heat a house.(960),0.805,1,2,,,,,,,,,,
Describe the process of using coal to heat a house.(961),How does coal get from the ground to a power station?(852),0.805,1,2,,,,,,,,,,
How do the lungs work?(796),What happens during respiration?(942),0.804,1,2,,,,,,,,,,
What do lungs do?(132),How do lungs work?(771),0.804,1,2,,,,,,,,,,
What causs a volcano to erupt?(7),What causs a volcano to erupt?(921),0.803,1,2,,,,,,,,,,
Describe the life cycle of a bird(636),Describe the life cycle of a bird(635),0.802,1,2,,,,,,,,,,
How does a coal-powered power station generate electricity?(393),How does a coal-powered power station generate electricity?(823),0.802,1,2,,,,,,,,,,
How do minerals form?(51),How do minerals form?(773),0.801,1,2,,,,,,,,,,
How does an electromagnet work?(280),How does an electromagnet work?(842),0.8,1,2,,,,,,,,,,
How do you make ice cubes?(1004),How do you make ice cubes?(1005),0.8,1,2,,,,,,,,,,
How does a steam engine work?(563),How does a steam engine work?(565),0.8,1,2,,,,,,,,,,
What causs a volcano to erupt?(7),How does igneous rock form?(36),0.799,1,2,,,,,,,,,,
How do the lungs work?(794),How do the lungs work?(139),0.798,1,2,,,,,,,,,,
Describe the life cycle of a plant(647),Describe the life cycle of a plant.(1106),0.798,1,2,,,,,,,,,,
Describe the life cycle of a plant(532),Describe the life cycle of a plant.(1107),0.798,1,2,,,,,,,,,,
How does coal get from the ground to a power station?(852),How does a coal-powered power station generate electricity?(823),0.798,1,2,,,,,,,,,,
How does a coal-fired power plant work?(1080),Describe the process of using coal to heat a house.(961),0.797,1,2,,,,,,,,,,
How does a coal-fired power plant work?(1081),How does a coal-powered power station generate electricity?(392),0.797,1,2,,,,,,,,,,
How does oil get from the ground to a gas station?(424),How does oil get from the ground to a gas station?(873),0.797,1,2,,,,,,,,,,
Describe the process of breathing.(256),How do lungs work?(771),0.797,1,2,,,,,,,,,,
How do the lungs work?(139),How do lungs work?(770),0.797,1,2,,,,,,,,,,
How do you make ice cubes?(287),How do you make ice cubes?(1005),0.796,1,2,,,,,,,,,,
Describe the process of photosynthesis(686),What happens during photosynthesis?(112),0.796,1,2,,,,,,,,,,
