BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,"Analogy Type (0=Far, 1=Close, 2=Self, 3=Sub)",,,,,,,,,,,
Describe the process of writing and posting a letter(484),How do you use a dishwasher?(1048),22.6,0,,,,,,,,,,,,
Describe the process of desalination(667),How does coal contribute to acid rain?(978),22.494,1,3,,,,,,,,,,,
Describe the typical steps in repairing a flat bicycle tire.(1025),How do you make ice cubes?(1004),22.168,0,,,,,,,,,,,,
What happens during the water cycle?(13),What happens during photosynthesis?(113),22.134,0,,,,,,,,,,,,
How do lungs work?(540),How does a solar panel work?(1150),21.9,0,,,,,,,,,,,,
How do bees make a hive?(1132),Describe the life cycle of a rabbit(528),21.834,0,,,,,,,,,,,,
Describe the process of photosynthesis(686),What happens during photosynthesis?(940),21.78,1,2,,,,,,,,,,,
What happens during a vocanic eruption?(931),How does weathering cause rocks to break apart?(908),21.778,1,3,,,,,,,,,,,
How does a coal-powered power station generate electricity?(392),How does a coal-powered power station generate electricity?(823),21.777,1,2,,,,,,,,,,,
What happens during photosynthesis?(938),How does a virus cause disease?(830),21.774,0,,,,,,,,,,,,
Describe the life cycle of a human(524),Describe the life cycle of a human(526),21.77,1,2,,,,,,,,,,,
How does coal get from the ground to a power station?(852),How does the human auditory system work?(413),21.732,1,3,,,,,,,,,,,
How does a greenhouse stay warm?(1053),Describe the process of the greenhouse effect(478),21.62,1,2,,,,,,,,,,,
How does the stomach work?(905),How does the digestive system work?(1158),21.52,1,1,,,,,,,,,,,
How does oil get from the ground to a gas station?(874),How do the lungs work?(139),21.516,1,0,,,,,,,,,,,
What happens during the water cycle?(13),Describe the process of photosynthesis(687),21.513,1,3,,,,,,,,,,,
Describe the process of recycling an aluminum can(157),How does coal contribute to acid rain?(978),21.483,0,,,,,,,,,,,,
Describe how oxygen reaches cells in the body(617),Describe how oxygen reaches cells in the body(377),21.2125,1,2,,,,,,,,,,,
How do plants obtain and use water?(779),What happens during photosynthesis?(940),20.976,1,1,,,,,,,,,,,
Describe how oxygen reaches cells in the body(619),How does oil get from the ground to a gas station?(874),20.8,0,,,,,,,,,,,,
Describe how to make pancakes.(1290),Describe how to make a cake.(1014),20.781,1,1,,,,,,,,,,,
How are proteins synthesized in a cell?(1202),How does the human auditory system work?(412),20.7375,0,,,,,,,,,,,,
Describe the process of digestion(489),How does the digestive system work?(1158),20.7325,1,2,,,,,,,,,,,
Describe how acid rain can affect the environment.(364),Describe how acid rain can affect the environment.(607),20.724,1,2,,,,,,,,,,,
How does a coal-powered power station generate electricity?(393),How does a coal-powered power station generate electricity?(392),20.685,1,2,,,,,,,,,,,
How do green plants get the energy they need?(330),Describe the process of photosynthesis(686),20.538,1,1,,,,,,,,,,,
How does sediment turn into sedimentary rock?(61),What happens during the rock cycle(448),20.44,1,1,,,,,,,,,,,
How does a desalination plant remove salt from water?(1295),How do you use a dishwasher?(1048),20.412,1,0,,,,,,,,,,,
Describe the process of recycling an aluminum can(157),Describe the process of recycling an aluminum can(699),20.325,1,2,,,,,,,,,,,
How are mountains formed?(80),How does weathering cause rocks to break apart?(908),20.2225,1,3,,,,,,,,,,,
How are ravines formed?(64),How are valleys formed?(22),19.99,1,1,,,,,,,,,,,
How does the stomach work?(905),Describe the process of digestion(490),19.868,1,1,,,,,,,,,,,
What happens during the water cycle?(13),Describe how acid rain can affect the environment.(365),19.8425,0,,,,,,,,,,,,
What happens during photosynthesis?(112),How does a solar panel work?(1148),19.8275,1,0,,,,,,,,,,,
Describe the process by which hurricanes form.(1127),What causs a volcano to erupt?(7),19.812,1,0,,,,,,,,,,,
How does a coal-fired power plant work?(1080),Describe the typical steps in making coffee.(1293),19.7425,1,3,,,,,,,,,,,
How does coal get from the ground to a power station?(852),How does a solar panel work?(1148),19.6455,1,0,,,,,,,,,,,
How does coal contribute to acid rain?(978),How do mountains form?(1104),19.518,0,,,,,,,,,,,,
What happens during the water cycle?(13),Describe the lifecycle of a butterfly(658),19.476,1,3,,,,,,,,,,,
How do you use a dishwasher?(1046),How do you use a dishwasher?(1047),19.44,1,2,,,,,,,,,,,
Describe the lifecycle of a butterfly(587),Describe the lifecycle of a butterfly(588),19.4225,1,2,,,,,,,,,,,
How does coal get from the ground to a power station?(422),How does oil get from the ground to a gas station?(874),19.338,1,1,,,,,,,,,,,
Describe the process of recycling an aluminum can(157),What happens during photosynthesis?(940),19.281,1,0,,,,,,,,,,,
How do plants obtain and use water?(779),How do green plants get the energy they need?(330),19.1525,1,1,,,,,,,,,,,
Describe how kidneys work(546),How does the human auditory system work?(412),19.095,0,,,,,,,,,,,,
Describe the lifecycle of a butterfly(658),Describe the lifecycle of a butterfly(588),19.0725,1,2,,,,,,,,,,,
How does the digestive system work?(1158),How does weathering cause rocks to break apart?(315),19.056,1,0,,,,,,,,,,,
How does the body control its blood sugar level?(555),What happens during weathering?(318),19,0,,,,,,,,,,,,
Describe the life cycle of a rabbit(652),Describe the life cycle of a rabbit(528),18.972,1,2,,,,,,,,,,,
Describe how the pancreas works(626),How does insulin help the body?(1216),18.816,1,1,,,,,,,,,,,
