BaseParagraphTopic,TargetParagraphTopic,Is Analogy
Describe the life cycle of a plant(530),How does coal contribute to acid rain?(978),No
Describe how oxygen reaches cells in the body(618),Describe the process by which hurricanes form.(1127),No
How do plants use animals to help disburse their seeds?(783),Describe the process of recycling an aluminum can(699),No
What happens during the water cycle?(15),How are mountains formed?(80),No
How do the lungs work?(139),How does a bird build a nest?(1265),No
How do you use a dishwasher?(1047),How does rust form?(1049),No
What happens during the water cycle?(15),How does sediment turn into sedimentary rock?(61),No
Describe how kidneys work(616),How do vaccinations work?(1099),No
Describe the typical steps involved in camping.(1086),Describe how acid rain can affect the environment.(366),No
Describe the typical steps in a kid's birthday party.(1091),How does a greenhouse stay warm?(1053),No
How does a plant get nutrients from the soil?(1055),Describe how forest fires can negatively affect animals(1143),No
Describe the lifecycle of a butterfly(656),How does an electromagnet work?(842),No
How do green plants get the energy they need?(769),Describe the process of writing and posting a letter(483),No
What happens during weathering?(316),Describe the lifecycle of a butterfly(658),No
How does a virus cause disease?(382),Describe how kidneys work(615),No
How do you make ice cubes?(286),Describe the process of DNA replication.(1077),No
Describe the process of fossilization(675),Describe the life cycle of a plant.(1107),No
Describe the typical steps in making coffee.(1294),What happens during a vocanic eruption?(931),No
How does a nuclear power plant work?(1224),Describe the process of fossilization(675),No
What do lungs do?(132),Describe how radioactive atoms decay(1151),No
Describe the typical steps in making coffee.(1294),Describe how the liver works(1172),No
Describe how kidneys work(546),How do green plants get the energy they need?(330),No
How do green plants get the energy they need?(330),How does coal contribute to acid rain?(978),No
What happens during erosion by the ocean?(11),What happens during the water cycle?(949),No
Describe the process of photosynthesis(480),What happens during photosynthesis?(113),Self Analogy
What happens during erosion by the ocean?(11),How do bees make a hive?(1131),No
Describe the process of fossilization(674),How does sedimentary rock form?(78),No
How do lungs work?(540),How do bees make a hive?(1132),No
How does the stomach work?(165),Describe how acid rain can affect the environment.(605),No
Describe the typical steps in repairing a flat bicycle tire.(1025),How does the human auditory system work?(412),No
Describe the process of writing and posting a letter(483),What happens during the rock cycle(449),No
How do the lungs work?(139),How does weathering cause rocks to break apart?(908),No
Describe the process of hibernation(681),Describe the life cycle of a plant(532),No
How does recycling work?(264),What causs a volcano to erupt?(920),No
Describe the life cycle of a rabbit(528),How is sunlight created?(1167),No
How does echolocation work?(232),How are proteins synthesized in a cell?(1203),No
Describe the process of the greenhouse effect(702),What happens during weathering?(316),No
What are the steps involved in growing a pumpkin?(1084),What happens during a vocanic eruption?(48),No
Describe the life cycle of a human(526),Describe the process of evaporation(671),No
What happens during weathering?(317),How does igneous rock form?(34),No
Describe the process of writing and posting a letter(485),How does acid rain form?(459),No
Describe the process of hibernation(494),Describe the process of desalination(468),No
Describe the life cycle of a fish(640),How does insulin help the body?(1214),No
Describe how kidneys work(547),How does mold grow on bread?(867),No
How do bees pollinate plants?(744),What happens during a vocanic eruption?(931),No
How does a nuclear power plant work?(1224),Describe the process of global warming(476),No
How do forests form?(1219),Describe the process of global warming(476),No
How do bees make a hive?(1132),What happens during a vocanic eruption?(931),No
What happens during weathering?(316),Describe how the liver works(1172),No
How do owls hunt at night?(1136),Describe the life cycle of a fish(519),No
How does rain form?(43),Describe the life cycle of a mushroom.(1064),No
Describe the life cycle of a plant(530),How do lungs work?(539),No
